id,name,neighbourhood,price,accommodates,room_type
345473,"Exquisite SoCo Cottage near Shops and Restaurants",78704,307,6,Entire home/apt
345536,"Artist's Hm. in Hip Bouldin Creek Area",78704,145,4,Entire home/apt
349447,"Eastside Cabana - Near UT,Downtown",78702,107,4,Entire home/apt
349635,"Central Austin Bed and Private bath 78703",78703,64,1,Private room
354263,"Best Little Guesthouse in Austin",78704,120,3,Entire home/apt
356837,"Upscale 3 story Downtown Townhouse",78701,224,8,Entire home/apt
357529,"Zilker Home walking distance to Zilker Park",78704,162,5,Entire home/apt
362525,"Quiet Country Cottage Near Downtown",78741,67,2,Entire home/apt
364269,"Zilker Treehouse. Minutes Music, Eateries more.",78704,191,8,Entire home/apt
364402,"Short + long term - Central Austin!",78751,60,1,Private room
365471,"Hip E.Side Downtwn House Walk 2 ALL!",78702,445,6,Entire home/apt
367356,"2BR dog-friendly w/patio, W/D, full kitchen",78751,122,6,Entire home/apt
381240,"SoCo  LUX Urban abode- Walk to South Congress",78704,229,2,Entire home/apt
406911,"$pecial for June & July + Homemade Banana Bread",78704,145,2,Entire home/apt
424279,"Steps to S. Congress, 2 bedroom oasis w/ pool",78704,166,4,Entire home/apt
433996,"Modern Loft in the Heart of ATX | Walk to Zilker",78704,93,2,Entire home/apt
461404,"Cute & Cozy Central Austin House",78756,140,3,Entire home/apt
463790,"Classy Private Executive Home",78736,200,4,Entire home/apt
479197,"Funky SoFi Condo! Walk downtown! Private bathroom",78704,50,2,Private room
485360,"Downtown Condo with Austin's skyline view!",78702,158,2,Entire home/apt
501861,"Cozy SoCo Guest House",78704,155,4,Entire home/apt
510168,"The Retreat",78733,240,6,Entire home/apt
517430,"Modern Upper Level Apartment Minutes from Downtown",78705,124,4,Entire home/apt
521689,"Austin  Oasis",78745,137,4,Entire home/apt
522136,"Downtown Oasis - Quiet Retreat",78701,123,4,Entire home/apt
525231,"Brentwood Guest House, Fenced Yard, Near UT/Dining",78757,143,5,Entire home/apt
528338,"Suite Spot (Zilker)",78704,99,3,Entire home/apt
542124,"Live Like a Local!",78702,95,2,Private room
560094,"SXSW special, perfect central location, pets ok!",78704,252,8,Entire home/apt
563735,"Zen Modern Home Near Downtown AUS",78704,55,2,Private room
